bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.1258,  NaN, 1, 0.8099, 0.5865 
-222.0000,  NaN, -2.7933, 1, 0.5075, -0.8616 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.8375, -2.5789, 2, 0.7719, -0.6358 
-2.2165, 0.9034, -2.2165, 1, 0.8894, -0.4571 
-1.8541, 0.9036, -2.1967, 2, 0.8943, -0.4475 
-1.4917, 0.9180, -1.4917, 1, 0.9913, -0.1316 
-1.1292, 0.9695, -1.1293, 1, 1.0000, 0.0025 
-0.7668, 1.0145, -0.7669, 1, 0.9936, 0.1126 
-0.4044, 1.0548, -0.4044, 2, 0.9790, 0.2037 
-0.0420, 0.9036, -2.1967, 2, 0.8943, -0.4475 
0.3205, 1.0886, 0.3205, 1, 0.9124, 0.4093 
0.6829, 1.1173, 0.6828, 2, 0.8538, 0.5206 
1.0453, 1.1258, 0.9670, 2, 0.8099, 0.5866 
1.4077, 1.1258, 0.9670, 1, 0.8099, 0.5866 
1.7701, 1.1258, 0.9670, 1, 0.8099, 0.5866 
2.1326, 1.1258, 0.9670, 2, 0.8099, 0.5866 
2.4950, 1.1258, 0.9668, 1, 0.8099, 0.5866 
2.8574, 1.1258, 0.9670, 2, 0.8099, 0.5866 
3.2198, 1.1258, 0.9670, 1, 0.8099, 0.5866 
3.5822, 1.1258, 0.9670, 1, 0.8099, 0.5866 
3.9447, 1.1191, 2.4321, 1, 0.4510, 0.8925 
