bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.8359,  NaN, 1, 0.3000, -0.9539 
-222.0000,  NaN, -1.5918, 1, 0.0783, -0.9969 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-1.5653, 1.8259, -1.5653, 2, 0.2197, -0.9756 
-1.3219, 1.8359, -1.5284, 2, 0.3000, -0.9539 
-1.0785, 1.8359, -1.5284, 1, 0.3000, -0.9539 
-0.8351, 1.8359, -1.5284, 1, 0.3000, -0.9539 
-0.5917, 1.8359, -1.5284, 2, 0.3000, -0.9539 
-0.3483, 1.8359, -1.5284, 2, 0.3000, -0.9539 
-0.1049, 1.8359, -1.5284, 1, 0.3000, -0.9539 
0.1385, 1.8359, -1.5284, 2, 0.3000, -0.9539 
0.3819, 1.8359, -1.5284, 2, 0.3000, -0.9539 
0.6253, 1.8359, -1.5284, 2, 0.3000, -0.9539 
0.8687, 1.8359, -1.5284, 1, 0.3000, -0.9539 
1.1121, 1.8359, -1.5284, 2, 0.3000, -0.9539 
1.3555, 1.8359, -1.5284, 2, 0.3000, -0.9539 
1.5989, 1.8359, -1.5284, 1, 0.3000, -0.9539 
1.8423, 1.8359, -1.5284, 1, 0.3000, -0.9539 
2.0857, 1.8359, -1.5284, 2, 0.3000, -0.9539 
2.3291, 1.8359, -1.5284, 1, 0.3000, -0.9539 
2.5725, 1.8359, -1.5284, 2, 0.3000, -0.9539 
2.8159, 1.8359, -1.5284, 1, 0.3000, -0.9539 
