bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 0.8989,  NaN, 1, 0.8225, 0.5688 
-222.0000,  NaN, -2.8260, 1, 0.4903, -0.8716 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.4109, -2.8179, 2, 0.5475, -0.8368 
-2.2165, 0.5549, -2.2165, 2, 0.9033, -0.4289 
-1.8541, 0.6083, -1.8541, 2, 0.9667, -0.2557 
-1.4917, 0.6495, -1.4917, 2, 0.9943, -0.1070 
-1.1292, 0.7152, -1.1292, 2, 0.9962, 0.0871 
-0.7668, 0.7398, -0.7668, 1, 0.9739, 0.2270 
-0.4044, 0.7670, -0.4044, 1, 0.9416, 0.3366 
-0.0420, 0.8428, -0.0420, 1, 0.8997, 0.4365 
0.3205, 0.4109, -2.8179, 2, 0.5475, -0.8368 
0.6829, 0.8989, 0.4767, 2, 0.8225, 0.5688 
1.0453, 0.8989, 0.4767, 1, 0.8225, 0.5688 
1.4077, 0.8989, 0.4767, 2, 0.8225, 0.5688 
1.7701, 0.8989, 0.4767, 1, 0.8225, 0.5688 
2.1326, 0.8989, 0.4767, 1, 0.8225, 0.5688 
2.4950, 0.8989, 0.4767, 1, 0.8225, 0.5688 
2.8574, 0.8989, 0.4767, 2, 0.8225, 0.5688 
3.2198, 0.8989, 0.4767, 2, 0.8225, 0.5688 
3.5822, 0.8989, 0.4767, 1, 0.8225, 0.5688 
3.9447, 0.8989, 0.4766, 1, 0.8225, 0.5688 
