bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 3.9146,  NaN, 1, 0.7814, -0.6241 
-222.0000,  NaN, -0.8017, 1, 0.7437, -0.6685 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-0.6980, 3.9146, -0.7970, 1, 0.7814, -0.6241 
-0.5564, 3.9146, -0.7970, 1, 0.7814, -0.6241 
-0.4148, 3.9146, -0.7970, 1, 0.7814, -0.6241 
-0.2732, 3.9146, -0.7970, 1, 0.7814, -0.6241 
-0.1316, 3.9146, -0.7970, 1, 0.7814, -0.6241 
0.0100, 3.9146, -0.7970, 1, 0.7814, -0.6241 
0.1516, 3.9146, -0.7970, 1, 0.7814, -0.6241 
0.2932, 3.9146, -0.7970, 2, 0.7814, -0.6241 
0.4348, 3.9146, -0.7970, 2, 0.7814, -0.6241 
0.5764, 3.9146, -0.7970, 2, 0.7813, -0.6241 
0.7180, 3.9146, -0.7970, 2, 0.7814, -0.6241 
0.8596, 3.9146, -0.7970, 2, 0.7814, -0.6241 
1.0012, 3.9146, -0.7970, 2, 0.7814, -0.6241 
1.1428, 3.9146, -0.7970, 1, 0.7814, -0.6241 
1.2844, 3.9146, -0.7970, 1, 0.7814, -0.6241 
1.4260, 3.9146, -0.7970, 1, 0.7814, -0.6241 
1.5676, 3.9146, -0.7970, 1, 0.7814, -0.6241 
1.7092, 3.9146, -0.7970, 2, 0.7814, -0.6241 
1.8508, 3.9146, -0.7970, 2, 0.7814, -0.6241 
