bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.0004,  NaN, 1, 0.9470, 0.3213 
-222.0000,  NaN, -2.8743, 1, 0.5041, -0.8636 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.7351, -2.5789, 1, 0.8151, -0.5794 
-2.2165, 0.7696, -2.2165, 1, 0.9200, -0.3920 
-1.8541, 0.8163, -1.8541, 1, 0.9638, -0.2666 
-1.4917, 0.8956, -1.4917, 1, 0.9923, -0.1239 
-1.1292, 0.9402, -1.1292, 1, 1.0000, -0.0009 
-0.7668, 0.9772, -0.7668, 2, 0.9930, 0.1182 
-0.4044, 0.9915, -0.4044, 1, 0.9667, 0.2558 
-0.0420, 1.0004, -0.2196, 2, 0.9470, 0.3213 
0.3205, 1.0004, -0.2196, 2, 0.9470, 0.3213 
0.6829, 1.0004, -0.2196, 1, 0.9470, 0.3213 
1.0453, 1.0004, -0.2196, 1, 0.9470, 0.3213 
1.4077, 1.0004, -0.2196, 2, 0.9470, 0.3213 
1.7701, 1.0004, -0.2196, 1, 0.9470, 0.3213 
2.1326, 1.0004, -0.2196, 1, 0.9470, 0.3213 
2.4950, 1.0004, -0.2196, 2, 0.9470, 0.3213 
2.8574, 1.0004, -0.2196, 1, 0.9470, 0.3213 
3.2198, 1.0004, -0.2196, 2, 0.9470, 0.3213 
3.5822, 1.0004, -0.2196, 1, 0.9470, 0.3213 
3.9447, 1.0004, -0.2196, 2, 0.9470, 0.3213 
