bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.2050,  NaN, 1, -0.4644, 0.8856 
-222.0000,  NaN, -0.6240, 1, -0.6060, -0.7955 
-0.6133, 0.2701, -0.6133, 1, -0.7189, -0.6951 
-0.4959, 0.5517, -0.4959, 1, -0.9218, -0.3876 
-0.3785, 0.6607, -0.3785, 1, -0.9767, -0.2145 
-0.2611, 0.7766, -0.2611, 1, -0.9988, -0.0499 
-0.1436, 0.8754, -0.1436, 1, -0.9970, 0.0770 
-0.0262, 0.9633, -0.0262, 1, -0.9796, 0.2008 
0.0912, 1.0412, 0.0912, 2, -0.9516, 0.3072 
0.2086, 1.1005, 0.2086, 2, -0.9115, 0.4112 
0.3261, 1.1361, 0.3261, 2, -0.8700, 0.4930 
0.4435, 1.1512, 0.4433, 2, -0.8277, 0.5612 
0.5609, 1.1572, 0.5609, 1, -0.7799, 0.6259 
0.6783, 1.1671, 0.6783, 1, -0.7178, 0.6962 
0.7958, 1.1936, 0.7958, 1, -0.6478, 0.7618 
0.9132, 1.2031, 0.9049, 1, -0.5658, 0.8245 
1.0306, 1.2031, 0.9050, 1, -0.5658, 0.8246 
1.1481, 1.2050, 1.0300, 1, -0.4644, 0.8856 
1.2655, 1.2045, 1.1472, 1, -0.3546, 0.9350 
1.3829, 1.2050, 1.0300, 1, -0.4645, 0.8856 
1.5003, 1.2050, 1.0301, 1, -0.4644, 0.8856 
1.6178, 1.2050, 1.0300, 2, -0.4644, 0.8856 
