bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.8525,  NaN, 1, 0.9564, 0.2921 
-222.0000,  NaN, -0.0445, 2, -0.7356, -0.6774 
0.0272, -0.4649, 0.0272, 1, -0.4911, -0.8711 
0.0779, -0.3284, 0.0779, 1, -0.3873, -0.9219 
0.1286, -0.1562, 0.1286, 1, -0.2338, -0.9723 
0.1794, -0.0114, 0.1794, 1, -0.1181, -0.9930 
0.2301, 0.1303, 0.2301, 1, -0.0052, -1.0000 
0.2808, 0.3099, 0.2808, 1, 0.1082, -0.9941 
0.3315, 0.4501, 0.3315, 1, 0.1947, -0.9809 
0.3823, 0.5669, 0.3823, 1, 0.2754, -0.9613 
0.4330, 0.8116, 0.4330, 1, 0.4489, -0.8936 
0.4837, 1.0383, 0.4837, 2, 0.6150, -0.7885 
0.5345, 1.1551, 0.5345, 1, 0.6884, -0.7253 
0.5852, 1.2305, 0.5852, 1, 0.7509, -0.6605 
0.6359, 1.2969, 0.6359, 1, 0.7973, -0.6036 
0.6866, 1.3628, 0.6866, 1, 0.8387, -0.5446 
0.7374, 1.4347, 0.7374, 1, 0.8827, -0.4699 
0.7881, 1.5263, 0.7881, 1, 0.9190, -0.3943 
0.8388, 1.6733, 0.8388, 1, 0.9765, -0.2156 
0.8895, 1.7879, 0.8895, 1, 1.0000, -0.0086 
0.9403, 1.8377, 0.9403, 2, 0.9877, 0.1561 
0.9910, 1.4759, 0.9910, 1, 0.4817, 0.8764 
