bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.3222,  NaN, 1, -0.5512, 0.8344 
-222.0000,  NaN, -0.6593, 1, -0.5920, -0.8059 
-0.6133, 0.3810, -0.6133, 2, -0.8258, -0.5639 
-0.4959, 0.5832, -0.4959, 1, -0.9287, -0.3708 
-0.3785, 0.7900, -0.3785, 1, -0.9788, -0.2048 
-0.2611, 0.9433, -0.2611, 1, -0.9989, -0.0461 
-0.1436, 1.0239, -0.1436, 1, -0.9942, 0.1073 
-0.0262, 1.0996, -0.0262, 1, -0.9752, 0.2211 
0.0912, 1.1433, 0.0912, 2, -0.9481, 0.3179 
0.2086, 1.1786, 0.2086, 1, -0.9105, 0.4135 
0.3261, 1.2309, 0.3261, 1, -0.8564, 0.5163 
0.4435, 1.2693, 0.4435, 1, -0.7933, 0.6088 
0.5609, 1.3005, 0.5609, 2, -0.7191, 0.6949 
0.6783, 1.3126, 0.6783, 1, -0.6343, 0.7731 
0.7958, 1.3222, 0.7914, 1, -0.5513, 0.8343 
0.9132, 1.3222, 0.7915, 1, -0.5512, 0.8343 
1.0306, 1.3222, 0.7915, 1, -0.5512, 0.8343 
1.1481, 1.3222, 0.7915, 2, -0.5512, 0.8343 
1.2655, 1.3222, 0.7915, 1, -0.5512, 0.8343 
1.3829, 1.3222, 0.7915, 1, -0.5513, 0.8343 
1.5003, 1.3222, 0.7915, 1, -0.5512, 0.8344 
1.6178, 1.3222, 0.7915, 1, -0.5512, 0.8343 
