bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 0.9200,  NaN, 1, 0.9970, 0.0770 
-222.0000,  NaN, -2.9272, 1, 0.5097, -0.8604 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.8290, -2.5789, 2, 0.8365, -0.5479 
-2.2165, 0.9182, -2.2444, 2, 0.9231, -0.3846 
-1.8541, 0.9182, -2.2443, 2, 0.9231, -0.3846 
-1.4917, 0.9182, -2.2443, 2, 0.9231, -0.3846 
-1.1292, 0.9200, -1.1787, 1, 0.9970, 0.0770 
-0.7668, 0.9182, -2.2443, 2, 0.9231, -0.3846 
-0.4044, 0.9200, -1.1786, 1, 0.9970, 0.0770 
-0.0420, 0.9200, -1.1786, 2, 0.9970, 0.0770 
0.3205, 0.9182, -2.2444, 2, 0.9231, -0.3846 
0.6829, 0.9200, -1.1786, 1, 0.9970, 0.0770 
1.0453, 0.9192, -1.4457, 1, 0.9995, -0.0310 
1.4077, 0.9200, -1.1786, 1, 0.9970, 0.0770 
1.7701, 0.9200, -1.1786, 2, 0.9970, 0.0770 
2.1326, 0.9192, -1.4457, 1, 0.9995, -0.0310 
2.4950, 0.9200, -1.1788, 2, 0.9970, 0.0769 
2.8574, 0.9200, -1.1786, 1, 0.9970, 0.0770 
3.2198, 0.9200, -1.1786, 1, 0.9970, 0.0770 
3.5822, 0.9200, -1.1802, 2, 0.9971, 0.0764 
3.9447, 0.9200, -1.1786, 1, 0.9970, 0.0770 
