bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 0.7850,  NaN, 1, 0.9532, 0.3024 
-222.0000,  NaN, -2.8565, 1, 0.5123, -0.8588 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.6460, -2.7697, 1, 0.6772, -0.7358 
-2.2165, 0.6460, -2.7697, 1, 0.6772, -0.7358 
-1.8541, 0.7191, -1.8541, 2, 0.9646, -0.2638 
-1.4917, 0.7355, -1.4917, 1, 0.9908, -0.1356 
-1.1292, 0.7701, -1.1292, 1, 1.0000, 0.0078 
-0.7668, 0.7798, -0.9708, 2, 0.9983, 0.0590 
-0.4044, 0.7798, -0.9707, 2, 0.9983, 0.0590 
-0.0420, 0.7798, -0.9707, 2, 0.9983, 0.0590 
0.3205, 0.7798, -0.9707, 1, 0.9983, 0.0590 
0.6829, 0.7832, 0.2204, 2, 0.8869, 0.4619 
1.0453, 0.7850, -0.2539, 2, 0.9532, 0.3024 
1.4077, 0.7850, -0.2539, 1, 0.9532, 0.3024 
1.7701, 0.7850, -0.2539, 1, 0.9532, 0.3024 
2.1326, 0.7850, -0.2541, 1, 0.9532, 0.3023 
2.4950, 0.7850, -0.2540, 1, 0.9532, 0.3023 
2.8574, 0.7850, -0.2539, 1, 0.9532, 0.3024 
3.2198, 0.7850, -0.2540, 1, 0.9532, 0.3023 
3.5822, 0.7832, 0.2204, 2, 0.8869, 0.4619 
3.9447, 0.7798, -0.9707, 2, 0.9983, 0.0590 
