bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.5964,  NaN, 1, -0.8752, 0.4837 
-222.0000,  NaN, -2.7632, 1, 0.3919, 0.9200 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5020, 0.9072, -2.5020, 1, 0.0829, 0.9966 
-2.1497, 1.1432, -2.1498, 2, -0.1454, 0.9894 
-1.7975, 1.2909, -1.7975, 2, -0.3281, 0.9447 
-1.4452, 1.3528, -1.4452, 1, -0.4503, 0.8929 
-1.0930, 1.4100, -1.0930, 1, -0.5306, 0.8476 
-0.7407, 1.4645, -0.7407, 1, -0.6226, 0.7826 
-0.3885, 1.5215, -0.3885, 2, -0.7170, 0.6971 
-0.0362, 1.5566, -0.0362, 1, -0.7969, 0.6041 
0.3160, 1.5958, 0.3160, 2, -0.8692, 0.4945 
0.6683, 1.5964, 0.3584, 2, -0.8752, 0.4837 
1.0205, 1.5964, 0.3585, 2, -0.8752, 0.4837 
1.3728, 1.5964, 0.3584, 1, -0.8752, 0.4837 
1.7250, 1.5964, 0.3585, 2, -0.8752, 0.4837 
2.0773, 1.5964, 0.3584, 1, -0.8752, 0.4837 
2.4295, 1.5964, 0.3585, 1, -0.8752, 0.4837 
2.7818, 1.5964, 0.3582, 2, -0.8752, 0.4837 
3.1340, 1.5964, 0.3585, 2, -0.8752, 0.4837 
3.4863, 1.5964, 0.3585, 2, -0.8752, 0.4837 
3.8385, 1.5964, 0.3585, 2, -0.8752, 0.4837 
