bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.5206,  NaN, 1, -0.7753, -0.6315 
-222.0000,  NaN, -3.2862, 1, 0.9803, -0.1976 
-3.1899, -1.2673, -3.1899, 1, 0.9030, -0.4297 
-2.8012, -0.0560, -2.8012, 1, 0.7478, -0.6639 
-2.4125, 0.7430, -2.4125, 1, 0.6047, -0.7965 
-2.0238, 1.3773, -2.0238, 1, 0.4318, -0.9019 
-1.6351, 1.8988, -1.6351, 1, 0.2851, -0.9585 
-1.2464, 2.3534, -1.2464, 1, 0.1627, -0.9867 
-0.8577, 2.7608, -0.8577, 1, 0.0684, -0.9977 
-0.4690, 3.1268, -0.4690, 1, -0.0332, -0.9995 
-0.0803, 3.4532, -0.0803, 1, -0.1303, -0.9915 
0.3083, 3.7420, 0.3083, 1, -0.2437, -0.9699 
0.6970, 3.9753, 0.6970, 1, -0.3509, -0.9364 
1.0857, 4.1615, 1.0857, 1, -0.4525, -0.8918 
1.4744, 4.3185, 1.4744, 2, -0.5469, -0.8372 
1.8631, 4.4361, 1.8631, 2, -0.6355, -0.7721 
2.2518, 4.4892, 2.1199, 2, -0.6920, -0.7219 
2.6405, 4.5206, 2.5152, 1, -0.7753, -0.6315 
3.0292, 4.5206, 2.5150, 1, -0.7753, -0.6316 
3.4179, 4.5206, 2.5151, 1, -0.7753, -0.6315 
3.8066, 4.5206, 2.5152, 2, -0.7753, -0.6315 
4.1953, 4.5206, 2.5152, 1, -0.7753, -0.6315 
