bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 2.0244,  NaN, 1, 0.9565, 0.2917 
-222.0000,  NaN, 0.0157, 1, -0.4058, -0.9140 
0.0272, -0.4218, 0.0272, 1, -0.3014, -0.9535 
0.0779, -0.0825, 0.0779, 1, -0.0584, -0.9983 
0.1286, 0.1878, 0.1286, 1, 0.1034, -0.9946 
0.1794, 0.4124, 0.1794, 1, 0.2274, -0.9738 
0.2301, 0.5912, 0.2301, 1, 0.3499, -0.9368 
0.2808, 0.7131, 0.2808, 1, 0.4282, -0.9037 
0.3315, 0.8156, 0.3315, 1, 0.4947, -0.8690 
0.3823, 0.9351, 0.3823, 1, 0.5767, -0.8169 
0.4330, 1.1006, 0.4330, 2, 0.6765, -0.7364 
0.4837, 1.1863, 0.4837, 1, 0.7263, -0.6873 
0.5345, 1.2743, 0.5345, 1, 0.7792, -0.6268 
0.5852, 1.4139, 0.5852, 1, 0.8373, -0.5468 
0.6359, 1.5728, 0.6359, 1, 0.8985, -0.4389 
0.6866, 1.7667, 0.6866, 1, 0.9643, -0.2649 
0.7374, 1.8568, 0.7374, 1, 0.9893, -0.1461 
0.7881, 1.9373, 0.7881, 1, 0.9999, -0.0160 
0.8388, 2.0025, 0.8388, 2, 0.9901, 0.1400 
0.8895, 0.8156, 0.8895, 2, -0.1135, 0.9935 
0.9403, 2.0244, 0.9033, 2, 0.9565, 0.2916 
0.9910, 2.0244, 0.9033, 2, 0.9565, 0.2916 
