bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.8131,  NaN, 1, -0.8195, 0.5731 
-222.0000,  NaN, -2.7944, 1, 0.3072, 0.9517 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5020, 1.1242, -2.5020, 1, 0.0615, 0.9981 
-2.1497, 1.2917, -2.1497, 1, -0.1281, 0.9918 
-1.7975, 1.5075, -1.7975, 1, -0.3604, 0.9328 
-1.4452, 1.6479, -1.4452, 2, -0.5127, 0.8585 
-1.0930, 1.7181, -1.0930, 1, -0.6288, 0.7776 
-0.7407, 1.7794, -0.7407, 2, -0.7273, 0.6864 
-0.3885, 1.8069, -0.3891, 1, -0.7901, 0.6129 
-0.0362, 1.8131, -0.2139, 1, -0.8195, 0.5731 
0.3160, 1.8131, -0.2139, 1, -0.8195, 0.5731 
0.6683, 1.8131, -0.2139, 1, -0.8195, 0.5731 
1.0205, 1.8131, -0.2139, 1, -0.8195, 0.5731 
1.3728, 1.8131, -0.2139, 1, -0.8195, 0.5731 
1.7250, 1.8131, -0.2139, 1, -0.8195, 0.5731 
2.0773, 1.8131, -0.2139, 2, -0.8195, 0.5731 
2.4295, 1.8131, -0.2139, 1, -0.8195, 0.5731 
2.7818, 1.8131, -0.2139, 1, -0.8195, 0.5731 
3.1340, 1.8131, -0.2139, 1, -0.8195, 0.5731 
3.4863, 1.8131, -0.2139, 2, -0.8195, 0.5731 
3.8385, 1.8131, -0.2139, 2, -0.8195, 0.5731 
