bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.5953,  NaN, 1, -0.7651, -0.6439 
-222.0000,  NaN, -3.3747, 1, 0.9737, -0.2276 
-3.1899, -0.7429, -3.1899, 1, 0.8534, -0.5212 
-2.8012, 0.2814, -2.8012, 1, 0.6843, -0.7292 
-2.4125, 0.9915, -2.4125, 1, 0.5295, -0.8483 
-2.0238, 1.5744, -2.0238, 1, 0.3917, -0.9201 
-1.6351, 2.0654, -1.6351, 1, 0.2605, -0.9655 
-1.2464, 2.5034, -1.2464, 1, 0.1391, -0.9903 
-0.8577, 2.8947, -0.8577, 1, 0.0448, -0.9990 
-0.4690, 3.2457, -0.4690, 1, -0.0623, -0.9981 
-0.0803, 3.5464, -0.0803, 1, -0.1691, -0.9856 
0.3083, 3.8077, 0.3083, 1, -0.2754, -0.9613 
0.6970, 4.0282, 0.6970, 2, -0.3726, -0.9280 
1.0857, 4.2203, 1.0857, 1, -0.4558, -0.8901 
1.4744, 4.3869, 1.4743, 1, -0.5346, -0.8451 
1.8631, -1.8914, 1.8631, 2, -0.1033, 0.9946 
2.2518, 4.5733, 2.2517, 1, -0.7061, -0.7081 
2.6405, 4.5953, 2.5981, 1, -0.7651, -0.6439 
3.0292, 4.5953, 2.5982, 1, -0.7651, -0.6439 
3.4179, 0.1964, 3.4179, 1, -0.6262, 0.7797 
3.8066, 4.5953, 2.5982, 1, -0.7651, -0.6439 
4.1953, 4.5953, 2.5982, 1, -0.7651, -0.6439 
