bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.2355,  NaN, 1, -0.4143, 0.9101 
-222.0000,  NaN, -0.6014, 1, -0.5860, -0.8103 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-0.4959, 0.5422, -0.4959, 1, -0.8744, -0.4852 
-0.3785, 0.6905, -0.3785, 2, -0.9516, -0.3075 
-0.2611, 0.7952, -0.2611, 1, -0.9853, -0.1706 
-0.1436, 0.9021, -0.1436, 1, -0.9997, -0.0243 
-0.0262, 0.9737, -0.0262, 1, -0.9947, 0.1023 
0.0912, 1.0210, 0.0912, 1, -0.9767, 0.2145 
0.2086, 1.0664, 0.2086, 1, -0.9496, 0.3134 
0.3261, 1.1201, 0.3261, 1, -0.9138, 0.4061 
0.4435, 1.1691, 0.4435, 1, -0.8687, 0.4953 
0.5609, 1.2055, 0.5609, 2, -0.8062, 0.5917 
0.6783, 1.2180, 0.6783, 1, -0.7480, 0.6637 
0.7958, 1.2280, 0.7950, 1, -0.6786, 0.7345 
0.9132, 1.2288, 0.8245, 1, -0.6573, 0.7537 
1.0306, 1.2288, 0.8245, 2, -0.6573, 0.7537 
1.1481, 1.2288, 0.8245, 1, -0.6573, 0.7537 
1.2655, 1.2355, 1.0852, 1, -0.4144, 0.9101 
1.3829, 1.2288, 0.8245, 1, -0.6573, 0.7537 
1.5003, 1.2355, 1.0853, 1, -0.4143, 0.9101 
1.6178, 1.2288, 0.8245, 2, -0.6573, 0.7537 
