bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.9379,  NaN, 1, 0.9652, 0.2615 
-222.0000,  NaN, -0.0056, 1, -0.5284, -0.8490 
0.0272, -0.2669, 0.0272, 1, -0.2866, -0.9581 
0.0779, -0.1038, 0.0779, 1, -0.1344, -0.9909 
0.1286, 0.0561, 0.1286, 1, -0.0317, -0.9995 
0.1794, 0.1822, 0.1794, 1, 0.0520, -0.9986 
0.2301, 0.3067, 0.2301, 1, 0.1431, -0.9897 
0.2808, 0.5244, 0.2808, 2, 0.2645, -0.9644 
0.3315, 0.7274, 0.3315, 1, 0.3934, -0.9194 
0.3823, 0.9522, 0.3823, 1, 0.5413, -0.8408 
0.4330, 1.1414, 0.4330, 1, 0.6615, -0.7500 
0.4837, 1.2804, 0.4837, 1, 0.7330, -0.6803 
0.5345, 1.3860, 0.5345, 1, 0.7920, -0.6105 
0.5852, 1.4675, 0.5852, 1, 0.8382, -0.5454 
0.6359, 1.5566, 0.6359, 1, 0.8977, -0.4406 
0.6866, 1.6438, 0.6866, 1, 0.9378, -0.3471 
0.7374, 1.7303, 0.7374, 1, 0.9672, -0.2540 
0.7881, 1.7870, 0.7881, 1, 0.9851, -0.1719 
0.8388, 1.8428, 0.8388, 2, 0.9966, -0.0823 
0.8895, 1.8771, 0.8895, 1, 1.0000, -0.0032 
0.9403, 1.9219, 0.9403, 2, 0.9938, 0.1114 
0.9910, 1.9374, 0.9909, 2, 0.9734, 0.2293 
