bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.5787,  NaN, 1, -0.4224, 0.9064 
-222.0000,  NaN, -2.7854, 1, 0.5696, 0.8219 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.6238, 3.6796, -2.6238, 1, 0.2657, 0.9641 
-2.2572, 4.1855, -2.2572, 1, 0.0011, 1.0000 
-1.8906, 4.4679, -1.8906, 1, -0.1787, 0.9839 
-1.5240, 4.5674, -1.5240, 2, -0.3501, 0.9367 
-1.1574, 4.5787, -1.3298, 1, -0.4224, 0.9064 
-0.7908, 4.5787, -1.3298, 2, -0.4224, 0.9064 
-0.4243, 4.5787, -1.3298, 2, -0.4224, 0.9064 
-0.0577, 4.5787, -1.3298, 2, -0.4224, 0.9064 
0.3089, 4.5787, -1.3298, 2, -0.4224, 0.9064 
0.6755, 4.5787, -1.3298, 2, -0.4224, 0.9064 
1.0421, 4.5787, -1.3298, 2, -0.4224, 0.9064 
1.4087, 4.5787, -1.3298, 2, -0.4225, 0.9064 
1.7752, 4.5787, -1.3298, 2, -0.4224, 0.9064 
2.1418, 4.5787, -1.3298, 2, -0.4224, 0.9064 
2.5084, 4.5787, -1.3298, 2, -0.4225, 0.9064 
2.8750, 4.5787, -1.3298, 2, -0.4224, 0.9064 
3.2416, 4.5787, -1.3303, 2, -0.4223, 0.9065 
3.6082, -2.7906, 3.6082, 2, -0.1960, -0.9806 
3.9748, 4.5787, -1.3298, 2, -0.4224, 0.9064 
