bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.4127,  NaN, 1, -0.3286, 0.9445 
-222.0000,  NaN, -0.5195, 1, -0.5713, -0.8207 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-0.4959, 0.3989, -0.4959, 2, -0.7560, -0.6545 
-0.3785, 0.5812, -0.3785, 1, -0.9085, -0.4179 
-0.2611, 0.7512, -0.2611, 1, -0.9678, -0.2518 
-0.1436, 0.8879, -0.1436, 1, -0.9950, -0.0997 
-0.0262, 0.9876, -0.0262, 1, -0.9996, 0.0300 
0.0912, 1.0705, 0.0912, 1, -0.9836, 0.1804 
0.2086, 1.1487, 0.2086, 2, -0.9477, 0.3191 
0.3261, 1.2040, 0.3261, 1, -0.9011, 0.4336 
0.4435, 1.2668, 0.4435, 2, -0.8409, 0.5411 
0.5609, 1.3011, 0.5609, 1, -0.7775, 0.6289 
0.6783, 1.3399, 0.6783, 1, -0.7169, 0.6972 
0.7958, 1.3756, 0.7958, 2, -0.6447, 0.7644 
0.9132, 1.3854, 0.9132, 1, -0.5653, 0.8249 
1.0306, 1.4009, 1.0306, 1, -0.4618, 0.8870 
1.1481, 1.4115, 1.1481, 1, -0.3738, 0.9275 
1.2655, 1.4127, 1.2038, 1, -0.3286, 0.9445 
1.3829, 1.4127, 1.2038, 1, -0.3286, 0.9445 
1.5003, 1.4127, 1.2038, 1, -0.3286, 0.9445 
1.6178, 1.4127, 1.2038, 1, -0.3286, 0.9445 
