bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.2086,  NaN, 1, -0.2456, 0.9694 
-222.0000,  NaN, -0.8033, 1, -0.6168, -0.7871 
-0.6133, 0.5726, -0.6133, 2, -0.9471, -0.3211 
-0.4959, 0.6783, -0.4959, 1, -0.9891, -0.1474 
-0.3785, 0.7770, -0.3785, 1, -0.9993, -0.0362 
-0.2611, 0.8669, -0.2611, 2, -0.9945, 0.1048 
-0.1436, 0.9233, -0.1436, 1, -0.9748, 0.2229 
-0.0262, 0.9709, -0.0262, 1, -0.9500, 0.3122 
0.0912, 1.0126, 0.0912, 1, -0.9240, 0.3824 
0.2086, 1.0466, 0.2086, 1, -0.8911, 0.4538 
0.3261, 1.0866, 0.3261, 2, -0.8479, 0.5302 
0.4435, 1.1179, 0.4435, 0, -0.8007, 0.5991 
0.5609, 1.1360, 0.5609, 1, -0.7494, 0.6621 
0.6783, 1.1527, 0.6783, 1, -0.6866, 0.7270 
0.7958, 1.1776, 0.7958, 2, -0.6198, 0.7847 
0.9132, 1.1921, 0.9132, 1, -0.5506, 0.8348 
1.0306, 1.1987, 1.0306, 1, -0.4617, 0.8870 
1.1481, 1.2054, 1.1481, 1, -0.3384, 0.9410 
1.2655, 1.2086, 1.2270, 1, -0.2456, 0.9694 
1.3829, 1.2086, 1.2270, 1, -0.2456, 0.9694 
1.5003, 1.2086, 1.2270, 1, -0.2456, 0.9694 
1.6178, 1.2086, 1.2270, 1, -0.2456, 0.9694 
