bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.6515,  NaN, 1, -0.8597, 0.5108 
-222.0000,  NaN, -3.0201, 1, 0.4355, 0.9002 
-2.8543, 0.9105, -2.8543, 1, 0.1086, 0.9941 
-2.5020, 1.2009, -2.5020, 1, -0.1414, 0.9899 
-2.1497, 1.3081, -2.1497, 1, -0.2829, 0.9592 
-1.7975, 1.3722, -1.7975, 1, -0.4030, 0.9152 
-1.4452, 1.4573, -1.4452, 2, -0.5005, 0.8657 
-1.0930, 1.5324, -1.0930, 1, -0.5945, 0.8041 
-0.7407, 1.5989, -0.7407, 1, -0.6944, 0.7196 
-0.3885, 1.6464, -0.3891, 2, -0.7714, 0.6364 
-0.0362, 1.6507, -0.2076, 1, -0.8044, 0.5941 
0.3160, 1.6515, 0.1081, 1, -0.8597, 0.5108 
0.6683, 1.6515, 0.1081, 1, -0.8597, 0.5108 
1.0205, 1.6507, -0.2076, 1, -0.8044, 0.5941 
1.3728, 1.6507, -0.2077, 2, -0.8044, 0.5941 
1.7250, 1.6507, -0.2076, 1, -0.8044, 0.5941 
2.0773, 1.6507, -0.2077, 2, -0.8044, 0.5941 
2.4295, 1.6507, -0.2076, 2, -0.8044, 0.5941 
2.7818, 1.6507, -0.2077, 2, -0.8044, 0.5941 
3.1340, 1.6515, 0.1081, 1, -0.8597, 0.5108 
3.4863, 1.6515, 0.1078, 1, -0.8596, 0.5109 
3.8385, 1.6515, 0.1078, 2, -0.8596, 0.5109 
