bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 0.9036,  NaN, 1, 0.6168, 0.7871 
-222.0000,  NaN, -3.0110, 1, 0.5103, -0.8600 
-2.9413, 0.6427, -2.9695, 0, 0.6483, -0.7614 
-2.5789, 0.6427, -2.9695, 2, 0.6482, -0.7614 
-2.2165, 0.7965, -2.2165, 2, 0.9476, -0.3195 
-1.8541, 0.8489, -1.8541, 2, 0.9874, -0.1579 
-1.4917, 0.8781, -1.5347, 2, 0.9996, -0.0273 
-1.1292, 0.8781, -1.5347, 1, 0.9996, -0.0273 
-0.7668, 0.8781, -1.5347, 1, 0.9996, -0.0273 
-0.4044, 0.8806, -0.4044, 1, 0.9606, 0.2778 
-0.0420, 0.8781, -1.5347, 1, 0.9996, -0.0273 
0.3205, 0.8781, -1.5347, 2, 0.9996, -0.0273 
0.6829, 0.8930, 0.6829, 1, 0.8444, 0.5358 
1.0453, 0.8813, -0.3601, 2, 0.9564, 0.2922 
1.4077, 0.8973, 0.8834, 2, 0.8121, 0.5835 
1.7701, 0.8973, 0.8834, 1, 0.8121, 0.5835 
2.1326, 0.8813, -0.3601, 2, 0.9564, 0.2922 
2.4950, 0.9036, 1.8744, 1, 0.6169, 0.7871 
2.8574, 0.9036, 1.8745, 2, 0.6168, 0.7871 
3.2198, 0.8973, 0.8818, 1, 0.8124, 0.5831 
3.5822, 0.9036, 1.8745, 1, 0.6168, 0.7871 
3.9447, 0.8973, 0.8834, 1, 0.8121, 0.5835 
