bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 0.9623,  NaN, 1, 0.8627, 0.5057 
-222.0000,  NaN, -2.9745, 1, 0.4966, -0.8680 
-2.9413, 0.3654, -2.9414, 0, 0.6087, -0.7934 
-2.5789, 0.4923, -2.5789, 1, 0.8685, -0.4956 
-2.2165, 0.6080, -2.2165, 1, 0.9424, -0.3344 
-1.8541, 0.6927, -1.8541, 1, 0.9794, -0.2018 
-1.4917, 0.7740, -1.4917, 1, 0.9967, -0.0814 
-1.1292, 0.8410, -1.1292, 1, 0.9990, 0.0440 
-0.7668, 0.8792, -0.7668, 2, 0.9886, 0.1505 
-0.4044, 0.8929, -0.4044, 1, 0.9660, 0.2587 
-0.0420, 0.9090, -0.0420, 1, 0.9335, 0.3585 
0.3205, 0.2555, -2.5280, 2, -0.0063, -1.0000 
0.6829, 0.9623, 0.5265, 1, 0.8627, 0.5057 
1.0453, 0.9623, 0.5265, 1, 0.8627, 0.5057 
1.4077, 0.9623, 0.5265, 1, 0.8627, 0.5057 
1.7701, 0.9623, 0.5265, 1, 0.8627, 0.5057 
2.1326, 0.9623, 0.5265, 1, 0.8627, 0.5057 
2.4950, 0.9623, 0.5265, 1, 0.8627, 0.5057 
2.8574, 0.9623, 0.5265, 1, 0.8627, 0.5057 
3.2198, 0.9623, 0.5265, 1, 0.8627, 0.5057 
3.5822, 0.9623, 0.5265, 2, 0.8627, 0.5057 
3.9447, 0.9623, 0.5265, 1, 0.8627, 0.5057 
