bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 3.7120,  NaN, 1, 0.7650, -0.6441 
-222.0000,  NaN, -0.6988, 1, 0.8056, -0.5925 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-0.6980, 3.7023, -0.6980, 2, 0.7974, -0.6035 
-0.5564, 3.7120, -0.6921, 1, 0.7650, -0.6441 
-0.4148, 3.7120, -0.6921, 1, 0.7650, -0.6441 
-0.2732, 3.7120, -0.6921, 1, 0.7650, -0.6441 
-0.1316, 3.7120, -0.6921, 2, 0.7650, -0.6441 
0.0100, 3.7120, -0.6921, 1, 0.7650, -0.6441 
0.1516, 3.7120, -0.6921, 1, 0.7650, -0.6441 
0.2932, 3.7120, -0.6921, 1, 0.7650, -0.6441 
0.4348, 3.7120, -0.6921, 1, 0.7650, -0.6441 
0.5764, 3.7120, -0.6921, 2, 0.7650, -0.6441 
0.7180, 3.7120, -0.6921, 1, 0.7650, -0.6441 
0.8596, 3.7120, -0.6921, 1, 0.7650, -0.6441 
1.0012, 3.7120, -0.6921, 1, 0.7650, -0.6441 
1.1428, 3.7120, -0.6921, 1, 0.7650, -0.6441 
1.2844, 3.7120, -0.6921, 2, 0.7650, -0.6441 
1.4260, 3.7120, -0.6921, 1, 0.7650, -0.6441 
1.5676, 3.7120, -0.6921, 1, 0.7650, -0.6441 
1.7092, 3.7120, -0.6921, 1, 0.7650, -0.6441 
1.8508, 3.7120, -0.6921, 1, 0.7650, -0.6441 
