bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.7083,  NaN, 1, -0.7433, 0.6690 
-222.0000,  NaN, -2.9112, 1, 0.3993, 0.9168 
-2.8543, 0.7965, -2.8543, 1, 0.2568, 0.9665 
-2.5020, 1.2086, -2.5020, 1, -0.0878, 0.9961 
-2.1497, 1.4345, -2.1497, 1, -0.2751, 0.9614 
-1.7975, 1.5807, -1.7975, 2, -0.4728, 0.8812 
-1.4452, 1.6358, -1.4452, 1, -0.5855, 0.8106 
-1.0930, 1.6974, -1.0930, 0, -0.6894, 0.7244 
-0.7407, 1.7083, -0.8451, 2, -0.7433, 0.6690 
-0.3885, 1.7083, -0.8451, 1, -0.7433, 0.6690 
-0.0362, 1.7083, -0.8451, 1, -0.7433, 0.6690 
0.3160, 1.7083, -0.8451, 1, -0.7433, 0.6690 
0.6683, 1.7083, -0.8452, 2, -0.7432, 0.6690 
1.0205, 1.7083, -0.8451, 1, -0.7433, 0.6690 
1.3728, 1.7083, -0.8451, 1, -0.7433, 0.6690 
1.7250, 1.7083, -0.8451, 2, -0.7433, 0.6690 
2.0773, 1.7083, -0.8451, 1, -0.7433, 0.6690 
2.4295, 1.7083, -0.8451, 1, -0.7433, 0.6690 
2.7818, 1.7083, -0.8451, 2, -0.7433, 0.6690 
3.1340, 1.7083, -0.8451, 2, -0.7433, 0.6690 
3.4863, 1.7083, -0.8451, 1, -0.7433, 0.6690 
3.8385, 1.7083, -0.8451, 2, -0.7433, 0.6690 
