bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.7453,  NaN, 1, -0.7377, -0.6751 
-222.0000,  NaN, -2.8515, 1, 0.9778, -0.2096 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.8012, -1.0994, -2.8012, 1, 0.9265, -0.3762 
-2.4125, 0.2071, -2.4125, 1, 0.7577, -0.6526 
-2.0238, 1.0181, -2.0238, 1, 0.6082, -0.7938 
-1.6351, 1.6636, -1.6351, 1, 0.4582, -0.8888 
-1.2464, 2.2007, -1.2464, 1, 0.3196, -0.9476 
-0.8577, 2.6587, -0.8577, 1, 0.2102, -0.9776 
-0.4690, 3.0638, -0.4690, 1, 0.1201, -0.9928 
-0.0803, 3.4307, -0.0803, 1, 0.0202, -0.9998 
0.3083, 3.7603, 0.3083, 1, -0.0916, -0.9958 
0.6970, 4.0423, 0.6970, 1, -0.2104, -0.9776 
1.0857, 4.2889, 1.0857, 1, -0.3183, -0.9480 
1.4744, 4.4935, 1.4744, 1, -0.4301, -0.9028 
1.8631, 4.6465, 1.8631, 1, -0.5553, -0.8317 
2.2518, 4.7324, 2.2518, 1, -0.6792, -0.7340 
2.6405, 4.7453, 2.4263, 1, -0.7377, -0.6751 
3.0292, 4.7453, 2.4263, 1, -0.7377, -0.6752 
3.4179, 4.7453, 2.4263, 1, -0.7377, -0.6752 
3.8066, 4.7453, 2.4263, 1, -0.7377, -0.6751 
4.1953, 4.7453, 2.4263, 1, -0.7377, -0.6751 
