bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.6194,  NaN, 1, -0.9313, 0.3642 
-222.0000,  NaN, -2.8179, 1, 0.4584, 0.8887 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5020, 1.0999, -2.5020, 1, -0.0114, 0.9999 
-2.1497, 1.2746, -2.1497, 1, -0.2274, 0.9738 
-1.7975, 1.3881, -1.7975, 2, -0.3748, 0.9271 
-1.4452, 1.4489, -1.4452, 1, -0.4856, 0.8742 
-1.0930, 1.4737, -1.0930, 1, -0.5778, 0.8162 
-0.7407, 1.4914, -0.7407, 1, -0.6575, 0.7534 
-0.3885, 1.5134, -0.3885, 1, -0.7350, 0.6781 
-0.0362, 1.5622, -0.0362, 2, -0.8082, 0.5889 
0.3160, 1.6009, 0.3160, 1, -0.8750, 0.4840 
0.6683, 1.6194, 0.6349, 2, -0.9313, 0.3642 
1.0205, 1.6194, 0.6351, 1, -0.9313, 0.3642 
1.3728, 1.6194, 0.6351, 2, -0.9313, 0.3642 
1.7250, 1.6194, 0.6350, 2, -0.9313, 0.3642 
2.0773, 1.6194, 0.6351, 2, -0.9313, 0.3642 
2.4295, 1.6194, 0.6351, 2, -0.9313, 0.3642 
2.7818, 1.6194, 0.6350, 1, -0.9313, 0.3642 
3.1340, 1.6194, 0.6351, 2, -0.9313, 0.3642 
3.4863, 1.6194, 0.6351, 1, -0.9313, 0.3642 
3.8385, 1.6194, 0.6351, 1, -0.9313, 0.3642 
