bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.2473,  NaN, 1, -0.7042, 0.7100 
-222.0000,  NaN, -3.3966, 1, -0.8373, 0.5467 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-3.0101, 1.2473, -3.3298, 2, -0.7042, 0.7100 
-2.5977, 1.2473, -3.3297, 2, -0.7042, 0.7100 
-2.1852, 1.2473, -3.3298, 2, -0.7042, 0.7100 
-1.7728, 1.2473, -3.3297, 2, -0.7042, 0.7100 
-1.3604, 1.2473, -3.3297, 2, -0.7042, 0.7100 
-0.9479, 1.2473, -3.3297, 1, -0.7042, 0.7100 
-0.5355, 1.2473, -3.3297, 1, -0.7042, 0.7100 
-0.1230, 1.2473, -3.3297, 2, -0.7042, 0.7100 
0.2894, 1.2473, -3.3297, 2, -0.7042, 0.7100 
0.7018, 1.2473, -3.3297, 2, -0.7042, 0.7100 
1.1143, 1.2473, -3.3297, 2, -0.7042, 0.7100 
1.5267, 1.2473, -3.3298, 2, -0.7042, 0.7100 
1.9391, 1.2473, -3.3297, 2, -0.7042, 0.7100 
2.3516, 1.2473, -3.3297, 2, -0.7042, 0.7100 
2.7640, 1.2466, -3.3942, 2, -0.8113, 0.5846 
3.1765, 1.2466, -3.3942, 2, -0.8113, 0.5846 
3.5889, 1.2473, -3.3297, 2, -0.7042, 0.7100 
4.0013, 1.2473, -3.3297, 1, -0.7042, 0.7100 
4.4138, 1.2473, -3.3297, 2, -0.7042, 0.7100 
