bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.8728,  NaN, 1, -0.4208, 0.9072 
-222.0000,  NaN, -2.9065, 1, 0.5261, 0.8504 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.6238, 4.1319, -2.6238, 1, 0.1794, 0.9838 
-2.2572, 4.5796, -2.2572, 1, -0.0693, 0.9976 
-1.8906, 4.7697, -1.8906, 1, -0.2425, 0.9702 
-1.5240, 4.8628, -1.5243, 1, -0.3608, 0.9326 
-1.1574, 4.8728, -1.3703, 1, -0.4208, 0.9072 
-0.7908, 4.8728, -1.3703, 2, -0.4208, 0.9072 
-0.4243, 4.8728, -1.3703, 2, -0.4208, 0.9072 
-0.0577, 4.8728, -1.3703, 1, -0.4207, 0.9072 
0.3089, 4.8728, -1.3703, 2, -0.4208, 0.9072 
0.6755, 4.8728, -1.3703, 2, -0.4208, 0.9072 
1.0421, 4.8728, -1.3703, 2, -0.4208, 0.9072 
1.4087, 4.8728, -1.3703, 1, -0.4208, 0.9072 
1.7752, 4.8728, -1.3703, 2, -0.4208, 0.9072 
2.1418, 4.8728, -1.3703, 1, -0.4208, 0.9072 
2.5084, 4.8728, -1.3703, 2, -0.4208, 0.9072 
2.8750, 4.8728, -1.3703, 2, -0.4208, 0.9072 
3.2416, 4.8728, -1.3703, 1, -0.4208, 0.9072 
3.6082, 4.8728, -1.3703, 2, -0.4208, 0.9072 
3.9748, 4.8728, -1.3703, 2, -0.4208, 0.9072 
