bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.2633,  NaN, 1, -0.2751, 0.9614 
-222.0000,  NaN, -0.6901, 1, -0.6243, -0.7812 
-0.6133, 0.5148, -0.6133, 2, -0.8595, -0.5111 
-0.4959, 0.7236, -0.4959, 2, -0.9573, -0.2891 
-0.3785, 0.8318, -0.3785, 1, -0.9904, -0.1385 
-0.2611, 0.8832, -0.2611, 1, -1.0000, 0.0057 
-0.1436, 0.9510, -0.1436, 1, -0.9929, 0.1192 
-0.0262, 1.0453, -0.0262, 2, -0.9724, 0.2332 
0.0912, 1.1004, 0.0912, 2, -0.9423, 0.3348 
0.2086, 1.1339, 0.2086, 1, -0.9041, 0.4273 
0.3261, 1.1604, 0.3261, 1, -0.8490, 0.5284 
0.4435, 1.2085, 0.4435, 1, -0.7856, 0.6187 
0.5609, 1.2364, 0.5609, 1, -0.7017, 0.7125 
0.6783, 1.2531, 0.6783, 2, -0.6138, 0.7895 
0.7958, 1.2617, 0.7942, 1, -0.5313, 0.8472 
0.9132, 1.2621, 0.8214, 2, -0.5101, 0.8601 
1.0306, 1.2621, 0.8214, 1, -0.5101, 0.8601 
1.1481, 1.2632, 1.0593, 1, -0.2794, 0.9602 
1.2655, 1.2633, 1.0629, 2, -0.2751, 0.9614 
1.3829, 1.2621, 0.8214, 2, -0.5101, 0.8601 
1.5003, 1.2633, 1.0629, 1, -0.2751, 0.9614 
1.6178, 1.2633, 1.0629, 1, -0.2751, 0.9614 
