bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.0712,  NaN, 1, -0.5730, 0.8196 
-222.0000,  NaN, -3.5269, 1, -0.8493, 0.5279 
-3.4226, 1.0496, -3.4226, 2, -0.7144, 0.6998 
-3.0101, 1.0712, -3.1197, 2, -0.5730, 0.8195 
-2.5977, 1.0712, -3.1196, 1, -0.5730, 0.8196 
-2.1852, 1.0712, -3.1197, 2, -0.5730, 0.8195 
-1.7728, 1.0712, -3.1196, 1, -0.5730, 0.8195 
-1.3604, 1.0712, -3.1196, 2, -0.5730, 0.8196 
-0.9479, 1.0712, -3.1196, 2, -0.5730, 0.8196 
-0.5355, 1.0712, -3.1196, 1, -0.5730, 0.8195 
-0.1230, 1.0712, -3.1196, 1, -0.5730, 0.8195 
0.2894, 1.0712, -3.1196, 2, -0.5730, 0.8196 
0.7018, 1.0712, -3.1196, 2, -0.5730, 0.8196 
1.1143, 1.0712, -3.1197, 1, -0.5730, 0.8195 
1.5267, 1.0712, -3.1197, 2, -0.5730, 0.8195 
1.9391, 1.0712, -3.1196, 1, -0.5730, 0.8196 
2.3516, 1.0712, -3.1196, 2, -0.5730, 0.8196 
2.7640, 1.0712, -3.1196, 2, -0.5730, 0.8196 
3.1765, 1.0712, -3.1196, 1, -0.5730, 0.8196 
3.5889, 1.0712, -3.1196, 2, -0.5730, 0.8196 
4.0013, 1.0712, -3.1196, 2, -0.5730, 0.8196 
4.4138, 1.0712, -3.1196, 2, -0.5730, 0.8195 
