bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 3.6923,  NaN, 1, 0.6933, -0.7207 
-222.0000,  NaN, -0.7594, 1, 0.8678, -0.4969 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-0.6980, 3.6750, -0.6980, 2, 0.7627, -0.6468 
-0.5564, 3.6923, -0.6465, 1, 0.6933, -0.7207 
-0.4148, 3.6923, -0.6465, 1, 0.6933, -0.7207 
-0.2732, 3.6923, -0.6465, 2, 0.6933, -0.7207 
-0.1316, 3.6923, -0.6465, 1, 0.6933, -0.7207 
0.0100, 3.6923, -0.6465, 1, 0.6933, -0.7207 
0.1516, 3.6923, -0.6465, 1, 0.6933, -0.7207 
0.2932, 3.6923, -0.6465, 1, 0.6933, -0.7207 
0.4348, 3.6923, -0.6465, 1, 0.6933, -0.7207 
0.5764, 3.6923, -0.6465, 2, 0.6933, -0.7207 
0.7180, 3.6923, -0.6465, 2, 0.6933, -0.7207 
0.8596, 3.6923, -0.6465, 1, 0.6933, -0.7207 
1.0012, 3.6923, -0.6465, 1, 0.6933, -0.7207 
1.1428, 3.6923, -0.6465, 1, 0.6933, -0.7207 
1.2844, 3.6923, -0.6465, 2, 0.6933, -0.7207 
1.4260, 3.6923, -0.6465, 1, 0.6933, -0.7207 
1.5676, 3.6923, -0.6465, 1, 0.6933, -0.7207 
1.7092, 3.6923, -0.6465, 2, 0.6933, -0.7207 
1.8508, 3.6923, -0.6465, 1, 0.6933, -0.7207 
