bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.1124,  NaN, 1, 0.9995, -0.0325 
-222.0000,  NaN, -2.9279, 1, 0.4865, -0.8737 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.9223, -2.8573, 2, 0.6472, -0.7623 
-2.2165, 0.9223, -2.8573, 2, 0.6472, -0.7623 
-1.8541, 1.0609, -2.0899, 2, 0.9400, -0.3412 
-1.4917, 1.0609, -2.0900, 2, 0.9400, -0.3413 
-1.1292, 1.0609, -2.0899, 1, 0.9400, -0.3412 
-0.7668, 1.1124, -1.2629, 1, 0.9995, -0.0325 
-0.4044, 1.1124, -1.2629, 1, 0.9995, -0.0325 
-0.0420, 1.1124, -1.2629, 1, 0.9995, -0.0325 
0.3205, 1.1124, -1.2629, 1, 0.9995, -0.0325 
0.6829, 1.1124, -1.2629, 1, 0.9995, -0.0325 
1.0453, 1.1124, -1.2629, 1, 0.9995, -0.0325 
1.4077, 1.1124, -1.2629, 1, 0.9995, -0.0325 
1.7701, 1.1124, -1.2629, 1, 0.9995, -0.0325 
2.1326, 1.1124, -1.2629, 2, 0.9995, -0.0325 
2.4950, 1.1124, -1.2629, 1, 0.9995, -0.0325 
2.8574, 1.1124, -1.2629, 1, 0.9995, -0.0325 
3.2198, 1.1124, -1.2629, 1, 0.9995, -0.0325 
3.5822, 1.1124, -1.2629, 1, 0.9995, -0.0325 
3.9447, 1.1124, -1.2629, 1, 0.9995, -0.0325 
