bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.7843,  NaN, 1, -0.7862, -0.6180 
-222.0000,  NaN, -3.2066, 1, 0.9792, -0.2028 
-3.1899, -1.7873, -3.1899, 2, 0.9533, -0.3021 
-2.8012, -0.3472, -2.8012, 1, 0.7914, -0.6113 
-2.4125, 0.5138, -2.4125, 1, 0.6675, -0.7447 
-2.0238, 1.2127, -2.0238, 1, 0.5363, -0.8440 
-1.6351, 1.7973, -1.6351, 1, 0.4099, -0.9121 
-1.2464, 2.3111, -1.2464, 1, 0.2850, -0.9585 
-0.8577, 2.7577, -0.8577, 1, 0.1436, -0.9896 
-0.4690, 3.1477, -0.4690, 1, 0.0373, -0.9993 
-0.0803, 3.5027, -0.0804, 1, -0.0567, -0.9984 
0.3083, 3.8210, 0.3083, 1, -0.1656, -0.9862 
0.6970, 4.1106, 0.6970, 1, -0.2788, -0.9604 
1.0857, 4.3499, 1.0857, 1, -0.4025, -0.9154 
1.4744, 4.5379, 1.4744, 1, -0.5057, -0.8627 
1.8631, 4.6747, 1.8631, 1, -0.6035, -0.7974 
2.2518, 4.7563, 2.2517, 1, -0.7103, -0.7039 
2.6405, 4.7843, 2.5577, 1, -0.7861, -0.6180 
3.0292, 4.7843, 2.5577, 1, -0.7862, -0.6180 
3.4179, 4.7843, 2.5577, 1, -0.7861, -0.6180 
3.8066, 4.7843, 2.5577, 1, -0.7861, -0.6180 
4.1953, 4.7843, 2.5577, 1, -0.7862, -0.6180 
