bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.5363,  NaN, 1, -0.4156, 0.9095 
-222.0000,  NaN, -2.9897, 1, 0.5254, 0.8509 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.6238, 4.1425, -2.6238, 1, 0.0728, 0.9973 
-2.2572, 4.3964, -2.2572, 1, -0.1308, 0.9914 
-1.8906, 4.5078, -1.8906, 0, -0.2772, 0.9608 
-1.5240, 4.5357, -1.5255, 1, -0.3979, 0.9174 
-1.1574, 4.5363, -1.4715, 2, -0.4156, 0.9095 
-0.7908, 4.5363, -1.4715, 1, -0.4156, 0.9095 
-0.4243, 4.5363, -1.4716, 1, -0.4156, 0.9095 
-0.0577, 4.5363, -1.4715, 2, -0.4156, 0.9095 
0.3089, 4.5363, -1.4715, 2, -0.4156, 0.9095 
0.6755, 4.5363, -1.4715, 2, -0.4156, 0.9095 
1.0421, 4.5363, -1.4715, 1, -0.4156, 0.9095 
1.4087, 4.5363, -1.4715, 2, -0.4156, 0.9095 
1.7752, 4.5363, -1.4715, 1, -0.4156, 0.9095 
2.1418, 4.5363, -1.4716, 1, -0.4156, 0.9095 
2.5084, 4.5363, -1.4716, 1, -0.4156, 0.9095 
2.8750, 4.5363, -1.4716, 1, -0.4156, 0.9095 
3.2416, 4.5363, -1.4715, 2, -0.4156, 0.9095 
3.6082, 4.5363, -1.4715, 2, -0.4156, 0.9095 
3.9748, 4.5363, -1.4715, 1, -0.4156, 0.9095 
