bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.2655,  NaN, 1, -0.6242, 0.7813 
-222.0000,  NaN, -0.6747, 1, -0.6206, -0.7841 
-0.6133, 0.5595, -0.6133, 1, -0.8606, -0.5092 
-0.4959, 0.7436, -0.4959, 1, -0.9564, -0.2921 
-0.3785, 0.8432, -0.3785, 1, -0.9888, -0.1490 
-0.2611, 0.9283, -0.2611, 1, -0.9999, -0.0124 
-0.1436, 1.0049, -0.1436, 1, -0.9911, 0.1329 
-0.0262, 1.0643, -0.0262, 1, -0.9672, 0.2541 
0.0912, 1.1383, 0.0912, 1, -0.9396, 0.3424 
0.2086, 1.2058, 0.2086, 1, -0.8943, 0.4475 
0.3261, 1.2297, 0.3260, 0, -0.8363, 0.5483 
0.4435, 1.2461, 0.4435, 1, -0.7840, 0.6208 
0.5609, 1.2569, 0.5609, 1, -0.7262, 0.6875 
0.6783, 1.2638, 0.6783, 1, -0.6592, 0.7520 
0.7958, 1.2655, 0.7316, 1, -0.6242, 0.7813 
0.9132, 1.2655, 0.7316, 1, -0.6242, 0.7813 
1.0306, 1.2655, 0.7316, 1, -0.6242, 0.7813 
1.1481, 1.2655, 0.7316, 2, -0.6242, 0.7813 
1.2655, 1.2655, 0.7316, 1, -0.6242, 0.7813 
1.3829, 1.2655, 0.7316, 1, -0.6242, 0.7813 
1.5003, 1.2655, 0.7316, 2, -0.6242, 0.7813 
1.6178, 1.2655, 0.7316, 1, -0.6242, 0.7813 
