bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.5747,  NaN, 1, -0.8553, 0.5181 
-222.0000,  NaN, -3.2160, 1, 0.4108, 0.9117 
-2.8543, 1.2667, -2.8543, 1, -0.0283, 0.9996 
-2.5020, 1.3582, -2.5020, 2, -0.1937, 0.9811 
-2.1497, 1.4241, -2.1497, 1, -0.3085, 0.9512 
-1.7975, 1.4874, -1.7975, 1, -0.4131, 0.9107 
-1.4452, 1.5366, -1.4461, 0, -0.5269, 0.8499 
-1.0930, 1.5378, -1.3394, 2, -0.5524, 0.8336 
-0.7407, 1.5453, -0.7409, 1, -0.6882, 0.7255 
-0.3885, 1.5642, -0.3918, 1, -0.7526, 0.6584 
-0.0362, 1.5644, -0.3476, 1, -0.7600, 0.6499 
0.3160, 1.5644, -0.3476, 1, -0.7601, 0.6499 
0.6683, 1.5747, 0.2822, 1, -0.8553, 0.5182 
1.0205, 1.5747, 0.2825, 1, -0.8553, 0.5181 
1.3728, 1.5747, 0.2825, 1, -0.8553, 0.5181 
1.7250, 1.5747, 0.2825, 2, -0.8553, 0.5181 
2.0773, 1.5747, 0.2824, 1, -0.8553, 0.5181 
2.4295, 1.5747, 0.2825, 2, -0.8553, 0.5181 
2.7818, 1.5747, 0.2825, 1, -0.8553, 0.5181 
3.1340, 1.5747, 0.2825, 1, -0.8553, 0.5181 
3.4863, 1.5747, 0.2825, 2, -0.8553, 0.5181 
3.8385, 1.5747, 0.2824, 1, -0.8553, 0.5181 
