bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.1636,  NaN, 1, -0.5888, 0.8083 
-222.0000,  NaN, -0.7077, 1, -0.6153, -0.7883 
-0.6133, 0.3359, -0.6133, 1, -0.8556, -0.5177 
-0.4959, 0.4973, -0.4959, 1, -0.9573, -0.2892 
-0.3785, 0.6376, -0.3785, 1, -0.9909, -0.1348 
-0.2611, 0.7692, -0.2611, 1, -0.9999, 0.0139 
-0.1436, 0.8810, -0.1436, 2, -0.9867, 0.1626 
-0.0262, 0.9577, -0.0262, 1, -0.9639, 0.2662 
0.0912, 1.0154, 0.0912, 1, -0.9354, 0.3536 
0.2086, 1.0613, 0.2086, 1, -0.9007, 0.4344 
0.3261, 1.1032, 0.3261, 1, -0.8530, 0.5219 
0.4435, 1.1288, 0.4435, 2, -0.7914, 0.6113 
0.5609, 1.1456, 0.5609, 1, -0.7259, 0.6878 
0.6783, 1.1557, 0.6783, 1, -0.6584, 0.7527 
0.7958, 1.1636, 0.7950, 1, -0.5932, 0.8050 
0.9132, 1.1636, 0.8021, 1, -0.5888, 0.8083 
1.0306, 1.1636, 0.8021, 1, -0.5888, 0.8083 
1.1481, 1.1636, 0.8021, 1, -0.5888, 0.8082 
1.2655, 1.1636, 0.8021, 1, -0.5888, 0.8082 
1.3829, 1.1636, 0.8021, 2, -0.5888, 0.8082 
1.5003, 1.1636, 0.8021, 2, -0.5888, 0.8083 
1.6178, 1.1636, 0.8021, 2, -0.5888, 0.8083 
