bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.1120,  NaN, 1, 0.8763, 0.4817 
-222.0000,  NaN, -2.8446, 1, 0.5152, -0.8571 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5789, 0.6484, -2.5789, 1, 0.7820, -0.6232 
-2.2165, 0.8368, -2.2165, 0, 0.9012, -0.4334 
-1.8541, 0.8804, -1.8541, 1, 0.9608, -0.2774 
-1.4917, 0.9532, -1.4917, 1, 0.9921, -0.1252 
-1.1292, 0.9570, -1.4149, 1, 0.9960, -0.0894 
-0.7668, 0.9963, -0.7668, 1, 0.9861, 0.1664 
-0.4044, 0.9570, -1.4149, 1, 0.9960, -0.0894 
-0.0420, 1.0951, -0.0420, 1, 0.9203, 0.3911 
0.3205, 1.1120, 0.3163, 1, 0.8765, 0.4814 
0.6829, 1.1120, 0.3176, 1, 0.8763, 0.4817 
1.0453, 1.1120, 0.3176, 1, 0.8763, 0.4817 
1.4077, 1.1120, 0.3176, 1, 0.8763, 0.4817 
1.7701, 1.1120, 0.3175, 1, 0.8763, 0.4817 
2.1326, 1.1120, 0.3176, 1, 0.8763, 0.4817 
2.4950, 1.1120, 0.3176, 1, 0.8763, 0.4817 
2.8574, 1.1120, 0.3176, 2, 0.8763, 0.4817 
3.2198, 1.1120, 0.3176, 1, 0.8763, 0.4817 
3.5822, 1.1120, 0.3174, 2, 0.8764, 0.4816 
3.9447, 1.1120, 0.3176, 2, 0.8763, 0.4817 
