bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.5550,  NaN, 1, 0.0822, -0.9966 
-222.0000,  NaN, -1.8602, 1, 0.0918, -0.9958 
-1.8087, 1.5550, -1.8601, 2, 0.0822, -0.9966 
-1.5653, 1.5550, -1.8601, 1, 0.0822, -0.9966 
-1.3219, 1.5550, -1.8601, 1, 0.0822, -0.9966 
-1.0785, 1.5550, -1.8601, 1, 0.0822, -0.9966 
-0.8351, 1.5550, -1.8601, 1, 0.0822, -0.9966 
-0.5917, 1.5550, -1.8601, 1, 0.0822, -0.9966 
-0.3483, 1.5550, -1.8601, 1, 0.0822, -0.9966 
-0.1049, 1.5550, -1.8601, 1, 0.0822, -0.9966 
0.1385, 1.5550, -1.8601, 1, 0.0822, -0.9966 
0.3819, 1.5550, -1.8601, 1, 0.0822, -0.9966 
0.6253, 1.5550, -1.8601, 1, 0.0822, -0.9966 
0.8687, 1.5550, -1.8601, 1, 0.0822, -0.9966 
1.1121, 1.5550, -1.8601, 1, 0.0822, -0.9966 
1.3555, 1.5550, -1.8601, 2, 0.0822, -0.9966 
1.5989, 1.5550, -1.8601, 1, 0.0822, -0.9966 
1.8423, 1.5550, -1.8601, 1, 0.0822, -0.9966 
2.0857, 1.5550, -1.8601, 1, 0.0822, -0.9966 
2.3291, 1.5550, -1.8601, 1, 0.0822, -0.9966 
2.5725, 1.5550, -1.8601, 1, 0.0822, -0.9966 
2.8159, 1.5550, -1.8601, 1, 0.0822, -0.9966 
