bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 0.8771,  NaN, 1, 0.8425, 0.5387 
-222.0000,  NaN, -3.0453, 1, 0.5179, -0.8554 
-2.9413, 0.4815, -2.9413, 2, 0.7228, -0.6910 
-2.5789, 0.5144, -2.5789, 1, 0.8819, -0.4715 
-2.2165, 0.6000, -2.2165, 2, 0.9501, -0.3119 
-1.8541, 0.6470, -1.8541, 1, 0.9855, -0.1695 
-1.4917, 0.6873, -1.4917, 1, 0.9992, -0.0404 
-1.1292, 0.7439, -1.1292, 1, 0.9971, 0.0762 
-0.7668, 0.8116, -0.7669, 2, 0.9818, 0.1897 
-0.4044, 0.8235, -0.5056, 2, 0.9652, 0.2616 
-0.0420, 0.8235, -0.5054, 1, 0.9652, 0.2617 
0.3205, 0.8643, 0.3204, 1, 0.8847, 0.4661 
0.6829, 0.8771, 0.5749, 1, 0.8425, 0.5387 
1.0453, 0.8771, 0.5748, 1, 0.8425, 0.5386 
1.4077, 0.8771, 0.5749, 2, 0.8425, 0.5387 
1.7701, 0.8771, 0.5749, 1, 0.8425, 0.5387 
2.1326, 0.8771, 0.5749, 1, 0.8425, 0.5387 
2.4950, 0.8771, 0.5748, 1, 0.8425, 0.5386 
2.8574, 0.8771, 0.5748, 1, 0.8425, 0.5386 
3.2198, 0.8771, 0.5749, 2, 0.8425, 0.5387 
3.5822, 0.8771, 0.5749, 1, 0.8425, 0.5387 
3.9447, 0.8771, 0.5749, 1, 0.8425, 0.5387 
