bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.5542,  NaN, 1, -0.8305, 0.5570 
-222.0000,  NaN, -2.8826, 1, 0.4996, 0.8663 
-2.8543, 0.9311, -2.8543, 1, 0.2799, 0.9600 
-2.5020, 1.2439, -2.5021, 2, -0.0674, 0.9977 
-2.1497, 1.2849, -2.1497, 1, -0.2128, 0.9771 
-1.7975, 1.3644, -1.7975, 0, -0.3411, 0.9400 
-1.4452, 1.4139, -1.4452, 2, -0.4652, 0.8852 
-1.0930, 1.4908, -1.0930, 2, -0.5871, 0.8095 
-0.7407, 1.5356, -0.7409, 2, -0.6856, 0.7280 
-0.3885, 1.5356, -0.7329, 1, -0.6874, 0.7263 
-0.0362, 1.5539, -0.0363, 1, -0.8183, 0.5747 
0.3160, 1.5356, -0.7329, 2, -0.6874, 0.7263 
0.6683, 1.5542, 0.0445, 1, -0.8305, 0.5570 
1.0205, 1.5356, -0.7329, 2, -0.6874, 0.7263 
1.3728, 1.5356, -0.7329, 1, -0.6874, 0.7263 
1.7250, 1.5542, 0.0445, 1, -0.8305, 0.5570 
2.0773, 1.5542, 0.0445, 1, -0.8305, 0.5570 
2.4295, 1.5542, 0.0446, 2, -0.8305, 0.5570 
2.7818, 1.5542, 0.0446, 1, -0.8305, 0.5570 
3.1340, 1.5542, 0.0445, 2, -0.8305, 0.5570 
3.4863, 1.5542, 0.0446, 2, -0.8305, 0.5570 
3.8385, 1.5542, 0.0445, 2, -0.8305, 0.5570 
