bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.8028,  NaN, 1, -0.8060, 0.5919 
-222.0000,  NaN, -2.7603, 1, 0.4217, 0.9068 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5020, 1.1015, -2.5020, 1, 0.0295, 0.9996 
-2.1497, 1.4445, -2.1498, 1, -0.2493, 0.9684 
-1.7975, 1.5692, -1.7975, 1, -0.4027, 0.9153 
-1.4452, 1.6377, -1.4452, 1, -0.5011, 0.8654 
-1.0930, 1.7130, -1.0930, 1, -0.6078, 0.7941 
-0.7407, 1.7784, -0.7407, 2, -0.6959, 0.7182 
-0.3885, 1.8025, -0.3885, 2, -0.7906, 0.6124 
-0.0362, 1.8028, -0.3362, 1, -0.8060, 0.5919 
0.3160, 1.8028, -0.3362, 2, -0.8060, 0.5919 
0.6683, 1.8028, -0.3362, 2, -0.8060, 0.5919 
1.0205, 1.8028, -0.3362, 2, -0.8060, 0.5919 
1.3728, 1.8028, -0.3362, 2, -0.8060, 0.5919 
1.7250, 1.8028, -0.3362, 2, -0.8060, 0.5919 
2.0773, 1.8028, -0.3363, 1, -0.8060, 0.5919 
2.4295, 1.8028, -0.3362, 2, -0.8060, 0.5919 
2.7818, 1.8028, -0.3362, 2, -0.8060, 0.5919 
3.1340, 1.8028, -0.3362, 2, -0.8060, 0.5919 
3.4863, 1.8028, -0.3362, 2, -0.8060, 0.5919 
3.8385, 1.8028, -0.3362, 1, -0.8060, 0.5919 
