bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.0614,  NaN, 1, -0.7533, 0.6577 
-222.0000,  NaN, -3.4410, 1, -0.8409, 0.5411 
-3.4226, 1.0594, -3.4226, 0, -0.7897, 0.6136 
-3.0101, 1.0614, -3.3989, 2, -0.7533, 0.6577 
-2.5977, 1.0614, -3.3989, 2, -0.7533, 0.6577 
-2.1852, 1.0614, -3.3989, 2, -0.7533, 0.6577 
-1.7728, 1.0614, -3.3989, 2, -0.7533, 0.6577 
-1.3604, 1.0614, -3.3989, 1, -0.7533, 0.6577 
-0.9479, 1.0614, -3.3989, 1, -0.7533, 0.6577 
-0.5355, 1.0614, -3.3989, 0, -0.7533, 0.6577 
-0.1230, 1.0614, -3.3989, 2, -0.7533, 0.6577 
0.2894, 1.0614, -3.3989, 2, -0.7533, 0.6577 
0.7018, 1.0614, -3.3989, 2, -0.7533, 0.6577 
1.1143, 1.0614, -3.3989, 2, -0.7533, 0.6577 
1.5267, 1.0614, -3.3989, 2, -0.7533, 0.6577 
1.9391, 1.0614, -3.3989, 2, -0.7533, 0.6577 
2.3516, 1.0614, -3.3989, 2, -0.7533, 0.6577 
2.7640, 1.0614, -3.3989, 2, -0.7533, 0.6577 
3.1765, 1.0614, -3.3989, 2, -0.7533, 0.6577 
3.5889, 1.0614, -3.3989, 1, -0.7533, 0.6577 
4.0013, 1.0614, -3.3989, 2, -0.7533, 0.6577 
4.4138, 1.0614, -3.3989, 2, -0.7533, 0.6577 
