bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.6903,  NaN, 1, -0.7584, -0.6518 
-222.0000,  NaN, -3.0995, 1, 0.9699, -0.2435 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.8012, -0.3248, -2.8012, 1, 0.8001, -0.5998 
-2.4125, 0.5866, -2.4125, 1, 0.6590, -0.7521 
-2.0238, 1.2786, -2.0238, 1, 0.5167, -0.8562 
-1.6351, 1.8429, -1.6351, 1, 0.3866, -0.9222 
-1.2464, 2.3275, -1.2464, 1, 0.2783, -0.9605 
-0.8577, 2.7619, -0.8577, 1, 0.1749, -0.9846 
-0.4690, 3.1402, -0.4690, 1, 0.0630, -0.9980 
-0.0803, 3.4828, -0.0803, 1, -0.0432, -0.9991 
0.3083, 3.7915, 0.3083, 1, -0.1714, -0.9852 
0.6970, 4.0605, 0.6970, 1, -0.2825, -0.9593 
1.0857, 4.2903, 1.0857, 1, -0.3851, -0.9229 
1.4744, 4.4690, 1.4744, 1, -0.4860, -0.8739 
1.8631, 4.5925, 1.8631, 2, -0.5910, -0.8067 
2.2518, 4.6755, 2.2515, 1, -0.6888, -0.7250 
2.6405, 4.6903, 2.5052, 1, -0.7584, -0.6518 
3.0292, 4.6903, 2.5052, 1, -0.7584, -0.6518 
3.4179, 4.6903, 2.5052, 1, -0.7584, -0.6518 
3.8066, 4.6903, 2.5052, 1, -0.7584, -0.6518 
4.1953, 4.6903, 2.5052, 1, -0.7584, -0.6518 
