bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 4.0562,  NaN, 1, 0.7642, -0.6450 
-222.0000,  NaN, -0.8868, 1, 0.9013, -0.4333 
-0.8396, 4.0562, -0.8432, 1, 0.7642, -0.6450 
-0.6980, 4.0562, -0.8432, 1, 0.7642, -0.6450 
-0.5564, 4.0562, -0.8432, 2, 0.7642, -0.6450 
-0.4148, 4.0562, -0.8432, 2, 0.7642, -0.6450 
-0.2732, 4.0562, -0.8432, 2, 0.7642, -0.6450 
-0.1316, 4.0562, -0.8432, 2, 0.7642, -0.6450 
0.0100, 4.0562, -0.8432, 1, 0.7642, -0.6450 
0.1516, 4.0562, -0.8432, 1, 0.7642, -0.6450 
0.2932, 4.0562, -0.8432, 1, 0.7642, -0.6450 
0.4348, 4.0562, -0.8432, 2, 0.7642, -0.6450 
0.5764, 4.0562, -0.8432, 2, 0.7642, -0.6450 
0.7180, 4.0562, -0.8432, 1, 0.7642, -0.6450 
0.8596, 4.0562, -0.8432, 2, 0.7642, -0.6450 
1.0012, 4.0562, -0.8432, 1, 0.7642, -0.6450 
1.1428, 4.0562, -0.8432, 2, 0.7642, -0.6450 
1.2844, 4.0562, -0.8432, 1, 0.7642, -0.6450 
1.4260, 4.0562, -0.8432, 1, 0.7642, -0.6450 
1.5676, 4.0562, -0.8432, 1, 0.7642, -0.6450 
1.7092, 4.0562, -0.8432, 1, 0.7642, -0.6450 
1.8508, 4.0562, -0.8432, 1, 0.7642, -0.6450 
