bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.4144,  NaN, 1, -0.9011, 0.4336 
-222.0000,  NaN, -2.7237, 1, 0.4694, 0.8830 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-2.5020, 0.9285, -2.5020, 1, 0.1139, 0.9935 
-2.1497, 1.0357, -2.1498, 2, -0.0889, 0.9960 
-1.7975, 1.0834, -1.7975, 1, -0.2080, 0.9781 
-1.4452, 1.1623, -1.4452, 1, -0.3446, 0.9387 
-1.0930, 1.3078, -1.0930, 1, -0.5125, 0.8587 
-0.7407, 1.3712, -0.7407, 2, -0.6312, 0.7756 
-0.3885, 1.3959, -0.3885, 1, -0.7179, 0.6961 
-0.0362, 1.4083, -0.0858, 2, -0.7834, 0.6215 
0.3160, 1.4083, -0.0859, 1, -0.7834, 0.6215 
0.6683, 1.4083, -0.0858, 1, -0.7834, 0.6215 
1.0205, 1.4083, -0.0858, 1, -0.7834, 0.6215 
1.3728, 1.4144, 0.6514, 1, -0.9011, 0.4336 
1.7250, 1.4144, 0.6514, 1, -0.9011, 0.4336 
2.0773, 1.4144, 0.6514, 1, -0.9011, 0.4336 
2.4295, 1.4144, 0.6514, 2, -0.9011, 0.4336 
2.7818, 1.4144, 0.6514, 2, -0.9011, 0.4336 
3.1340, 1.4144, 0.6514, 1, -0.9011, 0.4336 
3.4863, 1.4144, 0.6512, 2, -0.9011, 0.4337 
3.8385, 1.4144, 0.6507, 2, -0.9010, 0.4339 
