bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 1.1410,  NaN, 1, -0.4133, 0.9106 
-222.0000,  NaN, -0.6234, 1, -0.6658, -0.7461 
-0.6133, 0.2235, -0.6133, 2, -0.7393, -0.6733 
-0.4959, 0.4656, -0.4959, 1, -0.9215, -0.3883 
-0.3785, 0.6498, -0.3785, 1, -0.9856, -0.1688 
-0.2611, 0.7890, -0.2611, 2, -0.9999, 0.0117 
-0.1436, 0.8795, -0.1436, 2, -0.9906, 0.1369 
-0.0262, 0.9418, -0.0262, 1, -0.9699, 0.2435 
0.0912, 0.9941, 0.0912, 2, -0.9293, 0.3694 
0.2086, 1.0289, 0.2084, 0, -0.8811, 0.4730 
0.3261, 1.0405, 0.3255, 0, -0.8269, 0.5623 
0.4435, 1.0494, 0.4435, 1, -0.7726, 0.6348 
0.5609, 1.0706, 0.5609, 1, -0.7142, 0.6999 
0.6783, 1.0990, 0.6783, 1, -0.6457, 0.7636 
0.7958, 1.1271, 0.7958, 1, -0.5713, 0.8207 
0.9132, 1.1384, 0.9132, 1, -0.4715, 0.8819 
1.0306, 1.1410, 0.9645, 1, -0.4133, 0.9106 
1.1481, 1.1410, 0.9645, 1, -0.4133, 0.9106 
1.2655, 1.1410, 0.9645, 1, -0.4133, 0.9106 
1.3829, 1.1410, 0.9645, 2, -0.4133, 0.9106 
1.5003, 1.1410, 0.9645, 2, -0.4133, 0.9106 
1.6178, 1.1410, 0.9645, 1, -0.4133, 0.9106 
